,accountNumber,customerId,creditLimit,availableMoney,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,currentBalance,cardPresent,expirationDateKeyInMatch,accountOpenDate,transactionDateTime,currentExpDate,dateOfLastAddressChange
350141,543402514,543402514,7500.0,2931.47,774.18,West End Beauty #317515,US,US,05,01,personal care,178,178,8095,PURCHASE,0,4568.53,True,False,2014-12-29 00:00:00,2016-02-24 03:10:46,2029-12-01 00:00:00,2014-12-29 00:00:00
231658,822520327,822520327,5000.0,3396.13,168.6,EZ Putt Putt #804489,US,US,05,01,entertainment,426,426,9801,PURCHASE,0,1603.87,True,False,2015-02-08 00:00:00,2016-09-20 03:42:15,2030-10-01 00:00:00,2015-02-08 00:00:00
567088,568818309,568818309,15000.0,4860.09,145.54,Krispy Kreme #518033,US,US,09,01,fastfood,520,520,3740,PURCHASE,0,10139.91,True,False,2015-07-15 00:00:00,2016-08-14 13:34:02,2021-03-01 00:00:00,2016-05-29 00:00:00
40212,351025346,351025346,15000.0,5229.35,162.23,Universe Massage #541885,US,US,09,01,personal care,956,956,184,PURCHASE,0,9770.65,True,False,2014-02-19 00:00:00,2016-12-04 16:14:03,2026-11-01 00:00:00,2014-02-19 00:00:00
463385,582795387,582795387,5000.0,3109.87,99.11,Renaissance Hotel #151808,US,US,05,01,hotels,721,721,2953,PURCHASE,0,1890.13,True,False,2012-10-21 00:00:00,2016-02-21 19:57:26,2029-03-01 00:00:00,2016-02-11 00:00:00
344268,565116829,565116829,20000.0,3694.37,113.58,Delta Airlines,US,US,09,01,airline,824,824,5999,PURCHASE,0,16305.63,False,False,2015-03-13 00:00:00,2016-10-28 23:30:31,2023-05-01 00:00:00,2016-08-21 00:00:00
283851,500427148,500427148,20000.0,18438.38,140.58,EZ Putt Putt #240241,US,US,09,01,entertainment,201,201,1459,PURCHASE,0,1561.62,True,False,2014-06-06 00:00:00,2016-01-15 12:28:51,2023-08-01 00:00:00,2014-06-06 00:00:00
64477,917454025,917454025,15000.0,9924.92,2.59,Uptown Fries,US,US,02,01,food,393,393,8036,PURCHASE,0,5075.08,True,False,2015-09-04 00:00:00,2016-07-29 22:44:17,2027-08-01 00:00:00,2015-09-04 00:00:00
401510,517622547,517622547,5000.0,1855.21,160.04,AMC #724446,US,US,02,01,entertainment,489,489,2286,PURCHASE,0,3144.79,True,False,2012-02-02 00:00:00,2016-05-24 20:56:53,2028-01-01 00:00:00,2012-02-02 00:00:00
511104,799674919,799674919,15000.0,11477.41,0.0,amazon.com,US,US,09,01,online_retail,987,987,2567,ADDRESS_VERIFICATION,0,3522.59,False,False,2013-10-03 00:00:00,2016-09-20 11:43:45,2021-12-01 00:00:00,2016-06-21 00:00:00
352522,878958633,878958633,7500.0,3249.26,133.66,walmart.com,US,US,02,01,online_retail,135,135,6496,PURCHASE,0,4250.74,False,False,2012-07-22 00:00:00,2016-10-04 21:44:54,2021-08-01 00:00:00,2016-09-09 00:00:00
67132,552158878,552158878,5000.0,2465.78,0.0,EZ Putt Putt #503815,US,US,05,01,entertainment,783,783,6512,ADDRESS_VERIFICATION,0,2534.22,False,False,2012-12-06 00:00:00,2016-06-12 20:33:35,2023-03-01 00:00:00,2016-03-27 00:00:00
385660,398547504,398547504,5000.0,2266.56,125.77,Sprint Communications #776528,US,US,90,01,cable/phone,383,383,2434,PURCHASE,0,2733.44,False,False,2015-05-17 00:00:00,2016-11-16 23:05:02,2025-08-01 00:00:00,2015-05-17 00:00:00
461840,423666950,423666950,7500.0,2325.22,125.03,West End Beauty #442869,US,US,05,08,personal care,883,883,9130,PURCHASE,0,5174.78,True,False,2013-09-26 00:00:00,2016-05-23 01:06:46,2029-10-01 00:00:00,2013-09-26 00:00:00
290989,719873381,719873381,2500.0,497.46,426.63,Auntie Anne's #938796,US,US,02,01,fastfood,986,986,2242,PURCHASE,0,2002.54,True,False,2015-12-22 00:00:00,2016-03-13 02:12:55,2022-10-01 00:00:00,2015-12-22 00:00:00
331791,156947628,156947628,5000.0,534.28,499.0,Next Day Online Services,US,US,02,08,online_gifts,487,487,4432,PURCHASE,0,4465.72,False,False,2014-04-28 00:00:00,2016-10-16 15:08:10,2026-03-01 00:00:00,2016-02-25 00:00:00
