,accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
559204,241294382,241294382,10000.0,534.48,2016-09-02T01:17:04,299.37,Dairy Queen #623068,US,US,02,01,fastfood,12/2029,2015-10-17,2016-08-10,238,238,2808,PURCHASE,False,,9465.52,,,,True,,,False
171467,524279600,524279600,10000.0,1453.36,2016-12-06T18:57:04,1.12,Ricks Repair,US,US,05,01,auto,04/2019,2015-02-01,2015-02-01,163,163,7679,PURCHASE,False,,8546.64,,,,False,,,False
358080,644061224,644061224,7500.0,7329.45,2016-06-29T06:38:51,83.12,target.com,US,US,02,08,online_retail,07/2029,2014-04-12,2014-04-12,522,522,4162,PURCHASE,False,,170.55,,,,False,,,False
469226,394721594,394721594,20000.0,4807.06,2016-12-22T11:36:09,67.15,EZ Putt Putt #804489,US,US,09,01,entertainment,04/2021,2010-08-17,2016-11-29,513,513,8793,PURCHASE,False,,15192.94,,,,False,,,False
358233,146888423,146888423,7500.0,7283.44,2016-08-10T13:55:37,48.63,Daily Fresh,US,US,05,01,food_delivery,11/2021,2015-10-28,2015-10-28,502,502,4564,PURCHASE,False,,216.56,,,,False,,,False
506948,537986365,537986365,10000.0,2647.27,2016-12-04T22:02:51,0.0,Lyft,US,US,02,01,rideshare,03/2028,2014-06-23,2016-10-08,511,511,2847,ADDRESS_VERIFICATION,False,,7352.73,,,,False,,,False
283567,767641859,767641859,15000.0,6446.23,2016-08-17T13:00:36,33.26,Wendys #809054,US,US,02,01,fastfood,07/2018,2014-12-30,2016-06-03,814,814,3533,PURCHASE,False,,8553.77,,,,True,,,False
104826,629606479,629606479,7500.0,7058.74,2016-04-02T09:50:30,37.5,Burger King #627282,US,US,90,08,fastfood,02/2028,2010-09-21,2016-03-14,176,176,2251,PURCHASE,False,,441.26,,,,True,,,False
417546,832350956,832350956,15000.0,10158.22,2016-12-22T02:08:10,74.59,KFC #150863,US,US,05,08,fastfood,12/2028,2015-03-30,2016-12-12,159,159,3147,PURCHASE,False,,4841.78,,,,True,,,False
111561,240903935,240903935,50000.0,50000.0,2016-06-08T21:34:54,194.08,amazon.com,US,US,05,01,online_retail,07/2025,2014-11-16,2014-11-16,916,916,6342,PURCHASE,False,,0.0,,,,False,,,False
585821,773863988,773863988,5000.0,1748.88,2016-03-07T13:43:29,84.11,Best Bistro #44077,US,US,09,01,food,07/2019,2014-12-29,2016-01-22,598,598,66,PURCHASE,False,,3251.12,,,,True,,,False
591185,488729876,488729876,7500.0,4642.88,2016-05-07T07:08:15,0.29,Quizno's #473808,US,US,09,01,fastfood,12/2023,2015-05-28,2016-02-25,648,648,2211,PURCHASE,False,,2857.12,,,,True,,,False
103305,251172055,251172055,2500.0,341.06,2016-11-05T12:00:30,57.68,Mobil Gas #841292,US,US,02,08,fuel,05/2030,2015-09-03,2016-09-03,938,938,9880,PURCHASE,False,,2158.94,,,,True,,,False
189680,663333759,663333759,7500.0,1170.5,2016-04-26T18:08:41,236.87,Lyft,US,US,09,08,rideshare,02/2027,2013-09-25,2013-09-25,652,652,7953,PURCHASE,False,,6329.5,,,,False,,,False
77380,220418368,220418368,15000.0,12974.87,2016-02-10T01:51:06,338.65,Universe Massage #95463,US,US,09,01,personal care,12/2027,2015-06-03,2015-06-03,288,288,1459,PURCHASE,False,,2025.13,,,,True,,,False
413651,812328116,812328116,5000.0,4331.5,2016-09-21T21:08:44,0.0,walmart.com,US,US,05,01,online_retail,03/2025,2011-05-20,2016-07-20,312,312,5335,ADDRESS_VERIFICATION,False,,668.5,,,,False,,,False
